Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MZT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MZT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MZT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MZT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MZT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MZT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MZT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MZT_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Water
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Built-up
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Cropland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Cropland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Water
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Cropland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
270,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
271,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
272,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
273,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
274,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
275,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Bareland
277,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
278,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
279,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
281,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
282,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
283,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
284,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
285,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
286,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
287,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Cropland
289,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
290,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Bareland
291,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
292,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
293,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Cropland
294,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
295,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Bareland
296,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
297,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
298,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
299,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
300,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Cropland
301,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
302,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
303,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Grassland
304,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
305,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
306,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
307,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
308,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
309,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
310,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
311,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
312,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Water
313,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
314,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Cropland
315,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Wetland
316,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
317,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Water
318,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Forest
319,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,NULL
320,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
321,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Cropland
322,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Wetland
323,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Bareland
324,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Forest
325,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
326,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
327,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
328,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
