Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KTB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KTB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KTB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
