Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LMC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LMC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LMC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LMC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LMC_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Cropland
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Water
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Water
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,NULL
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Water,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Cropland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,NULL
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,NULL
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,NULL
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,NULL
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,NULL
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
319,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
320,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
321,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
322,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
323,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
324,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
325,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
326,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
327,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,NULL
328,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
