Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NXK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NXK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NXK_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
64,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
65,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
66,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
67,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
71,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
72,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
73,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
77,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
78,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
79,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
80,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
81,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
82,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
83,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
84,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
86,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
87,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
88,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
92,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
93,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
94,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
95,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
96,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
97,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
98,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
99,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
100,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
101,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
105,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
106,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
107,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
108,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
109,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
110,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
111,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
112,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
113,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
114,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
115,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
116,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
117,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
118,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
119,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
120,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
121,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
122,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
123,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
124,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
125,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
126,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
127,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
128,NULL,NULL,Water,Water,Water,NULL,NULL,Water
129,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
130,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
131,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
133,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
134,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
135,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
136,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
137,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
138,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
139,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
140,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
141,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
142,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
143,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
144,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
145,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
146,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
147,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
148,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
149,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
150,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
151,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
152,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
155,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
156,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
157,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
158,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
159,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
160,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
161,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
162,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
163,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
164,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
165,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
166,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
167,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
168,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
169,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
170,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
171,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
173,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
174,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
175,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
176,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
177,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
178,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
180,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
181,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
182,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
183,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
184,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
185,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
186,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
187,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
188,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
189,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
190,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
191,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
192,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
193,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
194,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
195,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
196,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
197,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
198,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
199,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
200,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
201,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
202,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
203,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
204,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
205,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
206,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Cropland
207,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
208,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
209,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
210,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
211,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
212,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
213,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
214,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
215,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
216,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
217,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
218,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
219,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
220,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
221,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
222,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
224,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
225,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
226,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
227,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
228,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
229,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
230,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
231,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
232,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Bareland
233,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Built-up
234,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Water
235,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
236,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
237,NULL,Cropland,Water,Water,Water,NULL,NULL,Cropland
238,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
239,NULL,Cropland,Water,Water,Water,NULL,NULL,Bareland
240,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
241,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
242,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
244,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
245,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
246,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
247,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
248,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
249,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
250,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
251,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
252,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
253,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
254,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
255,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
256,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
257,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
258,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Built-up
259,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
260,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
261,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
262,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
263,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
264,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
265,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
266,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
267,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
268,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
269,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
270,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
271,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
272,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
273,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
274,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
275,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
276,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
277,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
278,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
279,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
280,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
281,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
282,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
283,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
284,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
285,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
286,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
287,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
288,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
289,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
290,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
291,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
292,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Forest
293,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
294,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
295,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
296,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
297,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
298,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
299,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
300,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
301,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
302,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
303,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
304,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
305,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
306,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
307,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
308,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
309,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
310,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
311,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
312,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
313,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
314,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
315,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
316,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
317,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
318,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
319,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
320,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
321,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
322,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
323,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Cropland
324,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
325,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
326,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
327,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
328,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
329,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
330,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
331,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
332,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
333,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
334,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Cropland
335,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Wetland
336,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
337,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
338,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
339,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
340,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
341,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
342,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
