Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LVQ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
145,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
146,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
168,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
172,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
173,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Forest
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Bareland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
229,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
230,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
231,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
232,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
233,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
234,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
235,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
236,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Bareland
237,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
238,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
239,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
240,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
241,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,NULL
242,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
243,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Bareland
244,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,NULL
245,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
246,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
247,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
248,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
249,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
250,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
251,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
252,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,NULL
253,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
254,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
255,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
256,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
257,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Wetland
258,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,NULL
259,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
260,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
261,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Water
262,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,NULL
263,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
264,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
265,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
266,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
267,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,NULL
268,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
269,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
270,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
271,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
272,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
273,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,NULL
274,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
275,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Cropland
276,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
277,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
278,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
330,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
