Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KZP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
29,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
37,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
39,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
40,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
42,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
