Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LBL_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
140,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
146,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
178,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
179,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
180,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
181,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
182,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
183,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
184,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Water
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
