Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LXF_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Water
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Water
122,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
123,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
134,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
152,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
153,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
154,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Wetland
155,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
156,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
157,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
158,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Water
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
