Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KZB_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Bareland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Water
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
199,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
200,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
201,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
202,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
203,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Water
204,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
205,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
206,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
207,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
208,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Water
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
