Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MMS_M_R
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
91,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
102,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
103,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
104,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
105,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
106,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
107,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Grassland,Forest
108,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
109,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Built-up
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Built-up
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
195,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
196,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
197,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Built-up
198,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Built-up
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Water
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
211,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
212,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
213,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
214,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
215,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
216,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
217,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
218,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
219,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
220,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Water
221,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
222,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
223,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
224,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
225,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
227,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
228,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
229,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
230,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
235,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
236,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Cropland
238,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Bareland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Built-up
241,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Water
242,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
243,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
244,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
245,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
246,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
248,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
249,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
252,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
254,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
257,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
258,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
262,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
263,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
264,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Cropland
266,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Bareland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Built-up
269,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
270,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
271,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
272,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
275,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
281,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Water
282,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
283,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Cropland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Built-up
288,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
291,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
295,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
296,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
298,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
299,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Built-up
301,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
304,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
306,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
308,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
309,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
310,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
311,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
313,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
314,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
315,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
316,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
317,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
318,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
319,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
320,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
321,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
