Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NMH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Water
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
25,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
34,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
37,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
39,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
41,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
42,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
44,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
45,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
48,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
