Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MHU_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Water
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
219,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
220,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
221,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
222,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
223,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
224,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
225,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
226,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
227,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
