Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LBQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
