Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MRM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MRM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MRM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MRM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MRM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MRM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MRM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MRM_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
85,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
130,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
132,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Cropland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
206,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
207,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Water
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
215,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
216,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
217,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
218,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
219,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
220,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
221,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
222,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
223,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
224,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
225,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
226,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
227,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
228,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
229,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Bareland
230,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
231,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
232,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
233,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
234,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
235,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
248,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
249,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
250,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
251,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
256,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
265,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Water
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,NULL
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,NULL
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Water
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
329,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
