Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LZN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
13,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
14,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
15,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
16,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
17,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
18,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
19,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
21,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
22,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
24,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
25,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
26,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
27,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
28,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
29,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
