Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LFQ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Wetland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
218,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
219,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
220,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
221,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
222,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
223,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
224,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
225,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
226,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Wetland
227,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Water
228,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
229,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
230,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
231,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
232,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
233,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
234,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
235,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
236,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
237,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Built-up,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
