Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
23,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
41,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
42,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
43,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
44,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,NULL
45,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
46,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,NULL
47,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
48,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
49,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
50,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,NULL
51,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
52,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
53,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,NULL
54,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
55,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
56,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
57,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
58,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
59,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
60,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
61,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
62,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Bareland,NULL
63,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,NULL
64,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
65,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
66,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
67,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
68,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,NULL
69,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
70,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,NULL
71,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
72,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
73,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
74,NULL,NULL,Water,NULL,Water,Wetland,Grassland,NULL
75,NULL,NULL,Water,NULL,Water,Wetland,Wetland,NULL
76,NULL,NULL,Water,NULL,Water,Wetland,Water,NULL
77,NULL,NULL,Water,NULL,Water,Water,Grassland,NULL
78,NULL,NULL,Water,NULL,Water,Water,Wetland,NULL
79,NULL,NULL,Water,NULL,Water,Water,Water,NULL
80,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
81,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
82,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
83,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
84,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
85,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
86,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
87,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
