Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MXD_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
6,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
7,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
8,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
9,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
10,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
11,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
12,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
14,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
15,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
16,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
17,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
18,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
19,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
20,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
21,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
22,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
23,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
24,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
25,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
26,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
27,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
