Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LKL_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
174,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Built-up
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
