Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTD_M_R
27,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Bareland,NULL,Non_Wetland,Water
29,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
30,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
31,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
32,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
33,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
34,NULL,NULL,Bareland,Water,Non_Wetland,Water
35,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
36,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
37,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
38,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
39,NULL,NULL,Built-up,Water,Non_Wetland,Forest
40,NULL,NULL,Water,NULL,Water,Grassland
41,NULL,NULL,Water,Non_Water,Water,Bareland
42,NULL,NULL,Water,Non_Water,Water,Water
43,NULL,NULL,Water,Water,Water,Grassland
44,NULL,NULL,Water,Water,Water,Bareland
45,NULL,NULL,Water,Water,Water,Water
46,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
47,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
48,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
49,NULL,NULL,Forest,NULL,Non_Wetland,Water
50,NULL,NULL,Forest,NULL,Non_Wetland,Forest
51,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
52,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
53,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
54,NULL,NULL,Forest,Water,Non_Wetland,Bareland
55,NULL,NULL,Forest,Water,Non_Wetland,Water
56,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
57,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
58,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
59,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
60,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
61,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
62,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
63,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
64,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
65,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
66,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
67,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
68,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
69,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
70,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
71,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
72,NULL,Bareland,Cropland,Water,Non_Wetland,Water
73,NULL,Bareland,Cropland,Water,Non_Wetland,Forest
74,NULL,Bareland,Wetland,Non_Water,Wetland,Water
75,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
76,NULL,Bareland,Wetland,Water,Wetland,Water
77,NULL,Bareland,Wetland,Water,Wetland,Forest
78,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
79,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
80,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
81,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
82,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
83,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
84,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Forest
85,NULL,Bareland,Bareland,Water,Non_Wetland,Water
86,NULL,Bareland,Bareland,Water,Non_Wetland,Forest
87,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
88,NULL,Bareland,Water,NULL,Water,Bareland
89,NULL,Bareland,Water,Non_Water,Water,Bareland
90,NULL,Bareland,Water,Non_Water,Water,Water
91,NULL,Bareland,Water,Water,Water,Bareland
92,NULL,Bareland,Water,Water,Water,Water
93,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
94,NULL,Bareland,Forest,NULL,Non_Wetland,Water
95,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
96,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
97,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
98,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
99,NULL,Bareland,Forest,Water,Non_Wetland,Forest
100,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
101,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
102,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
103,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
104,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
105,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
106,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
107,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
108,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Water
109,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
110,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
111,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
112,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
113,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
114,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
115,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
116,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
117,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
118,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
119,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
120,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
121,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
122,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
123,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
124,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
125,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
126,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Water
127,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
128,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
129,NULL,Built-up,Wetland,NULL,Wetland,Water
130,NULL,Built-up,Wetland,NULL,Wetland,Forest
131,NULL,Built-up,Wetland,Non_Water,Wetland,Water
132,NULL,Built-up,Wetland,Water,Wetland,Water
133,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
134,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
135,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
136,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
137,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
138,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
139,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
140,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
141,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
142,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
143,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
144,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
145,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
146,NULL,Built-up,Water,NULL,Water,Water
147,NULL,Built-up,Water,NULL,Water,Forest
148,NULL,Built-up,Water,Non_Water,Water,Grassland
149,NULL,Built-up,Water,Non_Water,Water,Bareland
150,NULL,Built-up,Water,Non_Water,Water,Water
151,NULL,Built-up,Water,Non_Water,Water,Forest
152,NULL,Built-up,Water,Water,Water,Forest
153,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
154,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
155,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
156,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
157,NULL,Built-up,Forest,NULL,Non_Wetland,Water
158,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
159,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
160,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
161,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water
162,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
163,NULL,Built-up,Forest,Water,Non_Wetland,Bareland
164,NULL,Built-up,Forest,Water,Non_Wetland,Built-up
165,NULL,Built-up,Forest,Water,Non_Wetland,Forest
166,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
167,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
168,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
169,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
170,NULL,Water,Grassland,NULL,Non_Wetland,Forest
171,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
172,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
173,NULL,Water,Cropland,NULL,Non_Wetland,Water
174,NULL,Water,Cropland,NULL,Non_Wetland,Forest
175,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
176,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
177,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
178,NULL,Water,Cropland,Water,Non_Wetland,Grassland
179,NULL,Water,Cropland,Water,Non_Wetland,Water
180,NULL,Water,Wetland,NULL,Wetland,Bareland
181,NULL,Water,Wetland,Water,Wetland,Bareland
182,NULL,Water,Wetland,Water,Wetland,Water
183,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
184,NULL,Water,Bareland,NULL,Non_Wetland,Built-up
185,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
186,NULL,Water,Built-up,Water,Non_Wetland,Water
187,NULL,Water,Water,NULL,Water,Water
188,NULL,Water,Water,NULL,Water,Forest
189,NULL,Water,Water,Non_Water,Water,Forest
190,NULL,Water,Water,Water,Water,Forest
191,NULL,Water,Forest,NULL,Non_Wetland,Grassland
192,NULL,Water,Forest,NULL,Non_Wetland,Bareland
193,NULL,Water,Forest,NULL,Non_Wetland,Water
194,NULL,Water,Forest,NULL,Non_Wetland,Forest
195,NULL,Water,Forest,Non_Water,Non_Wetland,Water
196,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
197,NULL,Water,Forest,Water,Non_Wetland,Forest
198,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
199,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
200,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
201,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
202,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
203,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
204,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
205,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
206,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
207,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
208,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
209,NULL,Forest,Cropland,Water,Non_Wetland,Water
210,NULL,Forest,Wetland,Water,Wetland,Water
211,NULL,Forest,Wetland,Water,Wetland,Forest
212,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
213,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
214,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
215,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
216,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
217,NULL,Forest,Water,Water,Water,Water
218,NULL,Forest,Water,Water,Water,Forest
219,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
220,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
221,NULL,Forest,Forest,NULL,Non_Wetland,Water
222,NULL,Forest,Forest,NULL,Non_Wetland,Forest
223,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
224,NULL,Forest,Forest,Non_Water,Non_Wetland,Built-up
225,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
226,NULL,Forest,Forest,Water,Non_Wetland,Bareland
227,NULL,Forest,Forest,Water,Non_Wetland,Forest
228,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
229,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
230,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
231,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
232,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
233,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
234,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
235,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
236,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
237,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
238,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
239,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
240,Grassland,NULL,Water,Non_Water,Water,Grassland
241,Grassland,NULL,Water,Water,Water,Grassland
242,Grassland,NULL,Water,Water,Water,Water
243,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
244,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
245,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
246,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
247,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
248,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
249,Grassland,NULL,Forest,Water,Non_Wetland,Water
250,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
251,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
252,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
253,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
254,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
255,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
256,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
257,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
258,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
259,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
260,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
261,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
262,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
263,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
264,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Forest
265,Grassland,Bareland,Cropland,Water,Non_Wetland,Water
266,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
267,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest
268,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
269,Grassland,Built-up,Forest,NULL,Non_Wetland,Built-up
270,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
271,Grassland,Water,Cropland,Water,Non_Wetland,Forest
272,Grassland,Water,Wetland,Water,Wetland,Water
273,Grassland,Water,Water,Water,Water,Grassland
274,Grassland,Water,Water,Water,Water,Water
275,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
276,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
277,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
278,Grassland,Forest,Shrubland,Water,Non_Wetland,Water
279,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
280,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
281,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
282,Grassland,Forest,Cropland,Water,Non_Wetland,Grassland
283,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
284,Grassland,Forest,Wetland,Non_Water,Wetland,Water
285,Grassland,Forest,Wetland,Water,Wetland,Water
286,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Water
287,Grassland,Forest,Water,Non_Water,Water,Forest
288,Grassland,Forest,Water,Water,Water,Water
289,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
290,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
291,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
292,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
293,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
294,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
295,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
296,Grassland,Forest,Forest,Water,Non_Wetland,Water
297,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
298,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
299,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
300,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
301,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
302,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
303,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
304,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
305,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
306,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
307,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
308,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
309,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
310,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Water
311,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
312,Cropland,NULL,Wetland,Water,Wetland,Water
313,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
314,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
315,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
316,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Water
317,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Forest
318,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
319,Cropland,NULL,Bareland,Water,Non_Wetland,Forest
320,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
321,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Water
322,Cropland,NULL,Water,Non_Water,Water,Grassland
323,Cropland,NULL,Water,Non_Water,Water,Bareland
324,Cropland,NULL,Water,Water,Water,Water
325,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
326,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
327,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
328,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
329,Cropland,NULL,Forest,NULL,Non_Wetland,Water
330,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
331,Cropland,NULL,Forest,Non_Water,Non_Wetland,Bareland
332,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
333,Cropland,NULL,Forest,Water,Non_Wetland,Water
334,Cropland,NULL,Forest,Water,Non_Wetland,Forest
335,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
336,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
337,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
338,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
339,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
340,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
341,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
342,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
343,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
344,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
345,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
346,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
347,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Forest
348,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
349,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
350,Cropland,Cropland,Water,Non_Water,Water,Forest
351,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
352,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
353,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
354,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
355,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Forest
356,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
357,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
358,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
359,Cropland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
360,Cropland,Bareland,Water,Non_Water,Water,Water
361,Cropland,Bareland,Water,Water,Water,Water
362,Cropland,Bareland,Forest,NULL,Non_Wetland,Forest
363,Cropland,Bareland,Forest,Water,Non_Wetland,Water
364,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
365,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
366,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
367,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
368,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
369,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
370,Cropland,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
371,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
372,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
373,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
374,Cropland,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
375,Cropland,Built-up,Wetland,Non_Water,Wetland,Water
376,Cropland,Built-up,Bareland,NULL,Non_Wetland,Grassland
377,Cropland,Built-up,Bareland,Water,Non_Wetland,Bareland
378,Cropland,Built-up,Bareland,Water,Non_Wetland,Water
379,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
380,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
381,Cropland,Water,Shrubland,NULL,Non_Wetland,Bareland
382,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
383,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Forest
384,Cropland,Water,Grassland,Non_Water,Non_Wetland,Forest
385,Cropland,Water,Cropland,NULL,Non_Wetland,Bareland
386,Cropland,Water,Cropland,NULL,Non_Wetland,Forest
387,Cropland,Water,Cropland,Non_Water,Non_Wetland,Water
388,Cropland,Water,Cropland,Water,Non_Wetland,Grassland
389,Cropland,Water,Wetland,Water,Wetland,Water
390,Cropland,Water,Bareland,Non_Water,Non_Wetland,Bareland
391,Cropland,Water,Bareland,Water,Non_Wetland,Water
392,Cropland,Water,Water,Water,Water,Water
393,Cropland,Water,Forest,Non_Water,Non_Wetland,Grassland
394,Cropland,Water,Forest,Non_Water,Non_Wetland,Bareland
395,Cropland,Water,Forest,Non_Water,Non_Wetland,Forest
396,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland
397,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
398,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland
399,Cropland,Forest,Shrubland,NULL,Non_Wetland,Built-up
400,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
401,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Water
402,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
403,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
404,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
405,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
406,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Bareland
407,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
408,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland
409,Cropland,Forest,Cropland,NULL,Non_Wetland,Built-up
410,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
411,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
412,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Bareland
413,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Forest
414,Cropland,Forest,Wetland,Non_Water,Wetland,Bareland
415,Cropland,Forest,Wetland,Non_Water,Wetland,Water
416,Cropland,Forest,Wetland,Non_Water,Wetland,Forest
417,Cropland,Forest,Wetland,Water,Wetland,Bareland
418,Cropland,Forest,Wetland,Water,Wetland,Water
419,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
420,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest
421,Cropland,Forest,Bareland,Non_Water,Non_Wetland,Water
422,Cropland,Forest,Bareland,Non_Water,Non_Wetland,Forest
423,Cropland,Forest,Built-up,Non_Water,Non_Wetland,Water
424,Cropland,Forest,Water,Non_Water,Water,Bareland
425,Cropland,Forest,Water,Non_Water,Water,Water
426,Cropland,Forest,Water,Non_Water,Water,Forest
427,Cropland,Forest,Water,Water,Water,Grassland
428,Cropland,Forest,Water,Water,Water,Bareland
