Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NKJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NKJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NKJ_M_R
29,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
30,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
31,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
32,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
33,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
34,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
35,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
36,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
37,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
38,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
39,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
40,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
41,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
45,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
46,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
47,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
48,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
49,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
50,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
51,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
52,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
53,NULL,NULL,Water,Water,Water,NULL,NULL,Water
54,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
55,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
56,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
58,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
60,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
62,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
63,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
65,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
66,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
68,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
70,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
71,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
73,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
74,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
75,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
76,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
77,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
78,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
79,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
80,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
81,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
82,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
83,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
84,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
85,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
86,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
87,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
88,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
89,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
90,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
91,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
93,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
94,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
95,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
97,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
98,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
99,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
100,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
102,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
103,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
106,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
107,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
109,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
111,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
112,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
113,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
114,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
115,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
116,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
118,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
119,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
120,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
122,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
123,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
124,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
125,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
126,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
127,NULL,Water,Water,NULL,Water,NULL,NULL,Wetland
128,NULL,Water,Water,NULL,Water,NULL,NULL,Water
129,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
130,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
131,NULL,Water,Water,Water,Water,NULL,NULL,Water
132,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
134,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
137,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
138,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
139,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
140,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
141,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
143,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
144,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
145,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
146,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
147,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
148,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
149,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
150,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
151,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
152,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
153,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
154,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
155,NULL,Forest,Water,Water,Water,NULL,NULL,Wetland
156,NULL,Forest,Water,Water,Water,NULL,NULL,Water
157,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
158,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
159,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
160,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
161,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
162,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
163,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
164,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
165,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
166,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
167,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
168,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
169,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
170,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
171,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
172,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
173,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
174,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
175,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
176,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
177,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
178,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
179,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
180,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
181,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
182,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
183,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
184,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
185,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
186,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
187,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
188,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
189,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
190,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
191,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
192,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
193,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
194,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
195,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
196,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
197,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
198,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
199,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
200,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
201,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
202,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
203,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
204,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
205,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
206,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
207,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
208,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
209,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
210,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
211,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
212,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
213,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
214,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
215,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
216,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
217,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
218,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
219,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
220,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
221,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
222,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
223,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
224,Grassland,Wetland,Water,Water,Water,NULL,NULL,Grassland
225,Grassland,Wetland,Water,Water,Water,NULL,NULL,Wetland
226,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
227,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
228,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
229,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
230,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
231,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
232,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
233,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
234,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
235,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
236,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
237,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
238,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
239,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
240,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
241,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
242,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
243,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
244,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
245,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
246,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
247,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
248,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
249,Grassland,Forest,Water,NULL,Water,NULL,NULL,Grassland
250,Grassland,Forest,Water,NULL,Water,NULL,NULL,Wetland
251,Grassland,Forest,Water,Water,Water,NULL,NULL,Grassland
252,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
253,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
254,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
255,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
256,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
257,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
258,Grassland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
259,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
260,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
261,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
262,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
263,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
264,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
265,Cropland,NULL,Water,NULL,Water,NULL,NULL,Forest
266,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
267,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
268,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
269,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
270,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
271,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
272,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
273,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
274,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
275,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
276,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
277,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
278,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
279,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
280,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
281,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
282,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
283,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
284,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
285,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
286,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
287,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
288,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
289,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
290,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
291,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
292,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
293,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
294,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
295,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
296,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
297,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
298,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
299,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
300,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
301,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
302,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
303,Wetland,NULL,Water,NULL,Water,NULL,NULL,Water
304,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
305,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
306,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
307,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
308,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
309,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
310,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
311,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
312,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
313,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
314,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
315,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
316,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
317,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
318,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
319,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
320,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
321,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
322,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
323,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
324,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
325,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
326,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
327,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
328,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Forest
329,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
330,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
331,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
332,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
333,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
334,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
335,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
336,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
337,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
338,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
339,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
340,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
341,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
342,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
343,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
344,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
345,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
