Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NHF_M_R
29,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
32,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
40,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
41,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
42,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
43,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
44,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
45,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
46,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
47,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
48,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
49,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
50,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
51,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
52,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
53,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
54,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
55,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
56,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
57,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
58,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
66,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
67,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
68,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
69,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
70,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
71,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
72,NULL,NULL,Water,Water,Water,NULL,NULL,Water
73,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
75,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
76,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
77,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
78,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
80,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
81,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
82,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
83,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
84,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
85,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
86,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
87,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
88,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
92,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
93,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
96,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
97,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
98,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
99,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
100,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
103,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
105,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
106,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
107,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
108,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
109,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
110,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
111,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
112,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
113,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
114,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
115,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
116,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
117,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
118,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
119,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
120,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
121,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
123,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
124,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
125,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
126,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
127,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
128,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
129,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
130,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
131,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
132,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
133,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
135,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
136,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
137,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
138,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
140,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
141,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
142,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
143,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
144,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
145,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
146,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
148,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
149,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
150,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
151,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
152,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
154,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
155,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
156,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
157,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
158,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
159,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
160,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
161,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
163,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
164,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
165,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
166,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
167,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
168,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
169,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
171,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
173,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
174,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
175,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
177,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
178,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
180,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
181,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
182,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
184,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
185,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
187,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
188,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
189,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
190,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
191,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
192,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
193,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
194,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
195,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
196,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
197,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
198,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
199,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
200,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
201,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
202,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
203,NULL,Water,Water,NULL,Water,NULL,NULL,Water
204,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
205,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
206,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
207,NULL,Water,Water,Water,Water,NULL,NULL,Water
208,NULL,Water,Water,Water,Water,NULL,NULL,Forest
209,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
210,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
211,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
212,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
213,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
214,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
215,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
216,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
218,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
220,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
222,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
223,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
224,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
225,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
226,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
227,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
228,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
229,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
230,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
231,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
232,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
233,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
234,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
235,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
236,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
237,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
238,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
239,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
240,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
241,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
242,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
243,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
244,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
245,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
246,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Water
248,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
249,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
250,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
251,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
252,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
253,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
254,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
255,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
256,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
257,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
258,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
259,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
260,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
261,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
262,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
263,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
264,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
265,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
266,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
267,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
268,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
269,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
270,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
271,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
272,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
273,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
274,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
275,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
276,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
277,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
278,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
279,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
280,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
281,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
282,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
283,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
284,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
285,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
286,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
287,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
288,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
289,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
290,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
291,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
292,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
293,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
294,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
295,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
296,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
297,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
298,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
299,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
300,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
301,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
302,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
303,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
304,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
305,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
306,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
307,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
308,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
309,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
310,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
311,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
312,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
313,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
314,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
315,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
316,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
317,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
318,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
319,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
320,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
321,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
322,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
323,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
324,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
325,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
326,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
327,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
328,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
329,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
330,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
331,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
332,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
333,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
334,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
335,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
336,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
337,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
338,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
339,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
340,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
341,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
342,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
343,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
