Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NXD_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
9,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
10,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
14,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
15,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
16,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
17,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
18,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
19,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
20,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
21,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
22,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
23,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
24,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
25,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
26,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
27,NULL,NULL,Water,Water,Water,NULL,NULL,Water
28,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
29,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
31,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
32,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
35,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
37,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
38,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
41,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
42,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
43,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
44,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
45,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
46,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
47,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
48,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
49,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
50,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
51,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
52,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
53,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
56,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
57,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
58,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
59,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Built-up
60,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
61,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
62,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
64,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
66,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
67,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
68,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
69,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
70,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
71,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
72,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
75,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
76,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
77,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
78,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
79,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
80,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
81,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
82,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
83,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
84,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
85,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
86,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
87,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
88,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
89,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
91,NULL,Water,Water,NULL,Water,NULL,NULL,Water
92,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
93,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
94,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
95,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
96,NULL,Water,Water,Water,Water,NULL,NULL,Water
97,NULL,Water,Water,Water,Water,NULL,NULL,Forest
98,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
99,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
100,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
101,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
103,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
104,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
105,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
107,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
109,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
112,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
113,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
114,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
116,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
117,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
