Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LEK_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Wetland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Water
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Wetland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Grassland
290,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
291,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
292,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
293,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
294,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
295,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
296,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
297,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
298,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
299,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
300,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
301,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
302,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
303,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
304,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
305,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
306,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
307,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
308,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Water
309,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
310,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
311,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
312,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
313,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
314,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
315,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
316,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
317,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
318,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
319,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
320,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
321,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
322,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
323,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Wetland
324,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
325,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
326,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Water
327,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
328,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
329,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
