Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
