Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
29,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
30,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
31,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
