Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NXG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NXG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NXG_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
4,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
6,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
7,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
11,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
14,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
15,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
16,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
17,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
18,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
19,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
21,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
22,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
23,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
24,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
25,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
26,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
27,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
28,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
29,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
30,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
31,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
33,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
34,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
36,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
40,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
41,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
42,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
47,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
48,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
49,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
50,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
52,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
53,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
54,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
55,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
56,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
57,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
58,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
59,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
60,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
61,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
62,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
63,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
64,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
65,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
66,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
67,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
68,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
69,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
70,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
71,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
72,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
73,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
74,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
75,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
76,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
77,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
78,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
79,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
80,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
81,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
82,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
83,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
84,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
85,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
86,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
87,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
88,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
89,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
90,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
91,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
92,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
93,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
94,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
95,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
96,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
97,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
98,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
99,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
100,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
101,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
102,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
103,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
104,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
105,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
106,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
107,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
108,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
109,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
110,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
111,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
112,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
113,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
