Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MBC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
67,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
68,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
69,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
70,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
71,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
72,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
73,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
74,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
75,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
76,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
77,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
