Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KMU_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
154,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
155,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
156,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
160,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
163,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
167,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
168,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
172,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
197,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
198,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
199,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
201,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Cropland
204,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
205,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
206,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
207,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
208,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
209,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
210,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
212,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
213,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
214,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
215,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
216,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
217,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
218,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
219,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
220,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
221,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
222,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Water
223,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
224,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
225,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
226,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
227,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
228,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
229,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
230,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
231,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
232,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
233,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
234,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
235,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
236,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
237,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
238,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
239,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
240,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
241,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Cropland
242,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Grassland
243,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
244,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
245,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
246,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
248,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
249,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
250,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
251,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
252,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
253,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
254,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
255,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Bareland
256,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Built-up
257,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
258,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
259,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
260,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
261,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
262,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
263,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
264,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
265,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
266,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Bareland
267,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
268,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
269,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
270,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Cropland
271,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
272,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
273,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
274,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
275,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Bareland
276,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
277,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
278,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
279,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
280,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
281,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
282,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
286,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
287,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
288,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
292,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
293,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Cropland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
297,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
301,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Wetland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
329,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
330,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
331,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
