Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MCN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
30,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
31,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
32,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
33,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
34,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
35,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
36,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
37,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
38,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
39,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
40,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
41,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
58,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
59,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
60,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Water,Water
61,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
63,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
64,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
65,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
66,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
67,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
68,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
69,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
70,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
71,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
72,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
73,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
74,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
76,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
78,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
80,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
81,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
82,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
84,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
85,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
86,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
87,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Forest
89,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
90,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
91,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
92,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
94,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
95,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
96,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
97,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
