Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHR_M_R
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
29,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
33,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
36,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
37,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
38,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
39,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
40,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
41,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
42,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
43,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
44,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
45,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
46,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
47,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
48,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
49,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
50,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
51,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,Forest
52,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
53,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
55,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
57,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
59,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
60,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
61,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
62,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
63,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
64,NULL,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
65,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
66,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
67,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
68,NULL,NULL,Water,Water,Water,Water,Water,Water
69,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
70,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
71,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
72,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
73,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
74,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
75,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
77,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
78,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
79,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
80,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
81,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
82,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
83,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
84,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
85,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
86,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
87,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
88,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
89,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
90,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
91,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
92,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
93,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
94,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
95,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
96,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
97,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
98,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
99,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
100,NULL,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Forest
101,NULL,Cropland,Water,Water,Water,Water,Water,Grassland
102,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
103,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
104,NULL,Wetland,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
105,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
106,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
107,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
108,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
109,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
110,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
111,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
112,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
113,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
114,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
115,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
116,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
117,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
118,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
119,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
120,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
121,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
122,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
123,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
124,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
125,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
126,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Water
127,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
128,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
129,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
130,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
131,NULL,Wetland,Water,Water,Water,Wetland,Water,Grassland
132,NULL,Wetland,Water,Water,Water,Wetland,Water,Water
133,NULL,Wetland,Water,Water,Water,Water,Water,Water
134,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
135,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
136,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
137,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
138,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
139,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
140,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
141,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
142,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
143,NULL,Built-up,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
144,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
145,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
146,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
147,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
149,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
150,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
151,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
152,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
153,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
154,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
155,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
156,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
157,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
158,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
159,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
160,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
161,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Water,Bareland,Grassland
162,NULL,Built-up,Grassland,Water,Non_Wetland,Water,Bareland,Grassland
163,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Forest
164,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,Forest
165,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Bareland,Forest
166,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
167,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
168,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
169,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
170,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Forest,Forest
171,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
172,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
173,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
174,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
175,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
176,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
177,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
178,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
179,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
180,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
181,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
182,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Bareland,Forest
183,NULL,Built-up,Built-up,Water,Non_Wetland,Water,Bareland,Grassland
184,NULL,Built-up,Water,NULL,Water,Grassland,Bareland,Grassland
185,NULL,Built-up,Water,NULL,Water,Grassland,Bareland,Forest
186,NULL,Built-up,Water,Non_Water,Water,Bareland,Bareland,Grassland
187,NULL,Built-up,Water,Water,Water,Water,Wetland,Grassland
188,NULL,Built-up,Water,Water,Water,Water,Bareland,Forest
189,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
190,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
191,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
192,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
193,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
194,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
195,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
196,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
197,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
198,NULL,Water,NULL,Water,Non_Wetland,Water,Wetland,Grassland
199,NULL,Water,NULL,Water,Non_Wetland,Water,Bareland,Grassland
200,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
201,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
202,NULL,Water,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
203,NULL,Water,Grassland,Water,Non_Wetland,Wetland,Bareland,Grassland
204,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
205,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
206,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
207,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
208,NULL,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
209,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
210,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
211,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Water
212,NULL,Water,Wetland,Water,Wetland,Bareland,Wetland,Forest
213,NULL,Water,Wetland,Water,Wetland,Water,Bareland,Grassland
214,NULL,Water,Wetland,Water,Wetland,Water,Bareland,Wetland
215,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
216,NULL,Water,Wetland,Water,Wetland,Water,Water,Wetland
217,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
218,NULL,Water,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
219,NULL,Water,Water,NULL,Water,Grassland,Bareland,Grassland
220,NULL,Water,Water,Water,Water,Grassland,Wetland,Grassland
221,NULL,Water,Water,Water,Water,Water,Wetland,Grassland
222,NULL,Water,Water,Water,Water,Water,Wetland,Wetland
223,NULL,Water,Water,Water,Water,Water,Water,Grassland
224,NULL,Water,Water,Water,Water,Water,Water,Water
225,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
226,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
227,NULL,Water,Forest,Water,Non_Wetland,Water,Wetland,Grassland
228,NULL,Water,Forest,Water,Non_Wetland,Water,Bareland,Grassland
229,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
230,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
231,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
232,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
233,NULL,Forest,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
234,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
235,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
236,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
237,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
238,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
239,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
240,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
241,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Water
242,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
243,NULL,Forest,Bareland,Water,Non_Wetland,Water,Wetland,Water
244,NULL,Forest,Water,Water,Water,Water,Water,Water
245,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
246,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
247,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
248,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
249,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
250,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
251,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
252,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
253,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
254,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
255,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
256,NULL,Forest,Forest,Water,Non_Wetland,Water,Wetland,Water
257,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
258,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
259,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
260,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
261,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
262,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
263,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
264,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
265,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
266,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
267,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
268,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
269,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
270,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
271,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
272,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
273,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
274,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
275,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
276,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
277,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
278,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
279,Grassland,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
280,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
281,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
282,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
283,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
284,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
285,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
286,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
287,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
288,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
289,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
290,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
291,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
292,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
293,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
294,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
295,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
296,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
297,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
298,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
299,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
300,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
301,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
302,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
303,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
304,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
305,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
306,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
307,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
308,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
309,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
310,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
311,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
312,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
313,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
314,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
315,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
316,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
317,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
318,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
319,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
320,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
321,Grassland,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
322,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
323,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
324,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
325,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
326,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
327,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
328,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
329,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
330,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
331,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
332,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
333,Grassland,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
334,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
335,Grassland,NULL,Wetland,Water,Wetland,Grassland,Water,Water
