Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KNB_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Built-up
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Bareland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Cropland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,NULL
277,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
278,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
279,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
281,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
282,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
283,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
284,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,NULL
285,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Bareland
287,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
288,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
289,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
290,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
291,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
292,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
293,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
294,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
295,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
296,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
297,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
298,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
299,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
300,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Water
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
