Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NFG_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
54,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
55,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
65,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
67,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
81,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
82,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
83,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
84,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
86,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
87,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
88,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
98,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
99,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
100,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
101,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
102,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
103,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
105,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
106,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
108,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
109,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
111,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
113,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
114,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
115,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
116,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
117,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
118,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
119,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
120,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
121,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
122,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
123,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
124,NULL,NULL,Water,Water,Water,NULL,NULL,Water
125,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
126,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
127,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
128,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
129,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
130,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
131,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
132,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
133,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
134,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
135,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
136,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
137,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
138,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
139,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
140,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
141,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
142,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
143,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
144,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
145,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
146,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
147,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
149,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
150,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
151,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
152,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
154,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
155,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
156,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
157,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
158,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
159,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
160,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
161,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
162,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
163,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
164,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
165,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,NULL
166,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
167,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
168,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
169,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
171,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
172,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
173,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
174,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
175,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
176,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
177,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
178,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
179,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
180,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
181,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
183,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
184,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
185,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
187,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
188,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
189,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
190,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
191,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
192,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Water
193,NULL,Cropland,Water,Water,Water,NULL,NULL,Bareland
194,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
195,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
196,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
198,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
199,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
201,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
202,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
204,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
205,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
206,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
207,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
208,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
209,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
210,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
211,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
212,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
213,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
215,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
217,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
218,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
219,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,NULL
220,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
221,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
222,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
223,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
224,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
225,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
226,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
227,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
228,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
229,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
230,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
231,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
232,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
233,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
234,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
235,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
236,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,NULL
237,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
238,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
239,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
240,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
241,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
242,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
243,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
244,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
245,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
246,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
247,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,NULL
248,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
249,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
250,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
251,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
252,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
253,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
254,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
255,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
256,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,NULL
257,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
258,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
259,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
260,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
261,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
262,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
263,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
264,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
265,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
266,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,NULL
267,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
268,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
269,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
270,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
271,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
272,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
273,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
274,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Wetland
275,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
276,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
277,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
278,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
279,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
280,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
281,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
282,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
283,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
284,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
285,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
286,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
287,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
288,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
289,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
290,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
291,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
292,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Water
293,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
294,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
297,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
298,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
299,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
300,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
301,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
302,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
303,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
304,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
305,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
306,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
307,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
308,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
309,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
310,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
311,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
312,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
313,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
314,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
315,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
316,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
317,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
318,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
319,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
320,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
321,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
322,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
323,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
324,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
325,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
326,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
327,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,NULL
328,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
329,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
330,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
331,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
332,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
333,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
334,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
335,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Built-up
336,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
337,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
338,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
339,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
