Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MYU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
4,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
6,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
8,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
9,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
11,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Forest
13,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
14,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
15,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
16,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
17,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
18,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
19,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
20,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
21,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
22,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
23,NULL,NULL,Built-up,NULL,Non_Wetland,Water,NULL,Forest
24,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
25,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
26,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
27,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
28,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
29,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
30,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Grassland
31,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Forest
32,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
33,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
34,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
35,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
36,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
37,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
38,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
39,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
40,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
41,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
42,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
43,NULL,Bareland,Water,NULL,Water,Water,NULL,Water
44,NULL,Bareland,Water,Water,Water,Water,NULL,Water
45,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
46,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
47,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
49,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
