Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYC_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Water
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,NULL
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
230,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
231,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
232,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Forest
233,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
234,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
235,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
236,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Wetland
237,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
238,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
239,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
240,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,NULL
241,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
242,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
243,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
