Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MLR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
