Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MNT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
