Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MCA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Water
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
40,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
41,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Bareland
42,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
43,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
44,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
45,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
46,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
47,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
48,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
49,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
50,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
51,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Water
52,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
