Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MXU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MXU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
104,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
105,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
106,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
107,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
108,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
109,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
110,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
111,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
112,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
113,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
114,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
115,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
116,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
117,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Bareland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Built-up
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
