Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KBF_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
173,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,NULL
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
214,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
215,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,NULL
216,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
217,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
218,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,NULL
219,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
220,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
221,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,NULL
222,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
223,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,NULL
224,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
225,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
