Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MEU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
5,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
9,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
10,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
11,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
12,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
13,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
14,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
15,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
16,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
17,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
18,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
19,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
20,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
21,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
22,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
23,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
24,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
25,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
26,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
27,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
28,NULL,NULL,Water,Water,Water,Water,Water,Water
29,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
30,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
31,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
32,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
33,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
34,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
35,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
36,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
37,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
38,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Water
39,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
40,NULL,Bareland,Forest,Water,Non_Wetland,Bareland,Bareland,Water
41,NULL,Water,NULL,NULL,Non_Wetland,Water,Water,Water
42,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
43,NULL,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
44,NULL,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
45,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Water
46,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Water
47,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
48,NULL,Water,Wetland,NULL,Wetland,Water,Water,Forest
49,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
50,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
51,NULL,Water,Wetland,Water,Wetland,Water,Water,Bareland
52,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
53,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
54,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
55,NULL,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
56,NULL,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
57,NULL,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
58,NULL,Water,Water,NULL,Water,Water,Wetland,Forest
59,NULL,Water,Water,NULL,Water,Water,Water,Water
60,NULL,Water,Water,NULL,Water,Water,Water,Forest
61,NULL,Water,Water,Non_Water,Water,Water,Water,Water
62,NULL,Water,Water,Non_Water,Water,Water,Water,Forest
63,NULL,Water,Water,Water,Water,NULL,Wetland,Water
64,NULL,Water,Water,Water,Water,NULL,Water,Water
65,NULL,Water,Water,Water,Water,Wetland,Wetland,Forest
66,NULL,Water,Water,Water,Water,Water,Wetland,Forest
67,NULL,Water,Water,Water,Water,Water,Water,Water
68,NULL,Water,Water,Water,Water,Water,Water,Forest
69,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
70,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
71,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Water
72,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Water
73,NULL,Forest,Wetland,Water,Wetland,Water,Water,Water
74,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
75,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
76,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Water
77,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
78,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
79,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
80,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
81,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
82,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
83,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Water
84,Grassland,Bareland,Wetland,Water,Wetland,Water,Water,Water
85,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
86,Grassland,Forest,Water,Water,Water,Water,Water,Water
87,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Water
88,Cropland,Wetland,Wetland,Water,Wetland,Water,Water,Water
89,Cropland,Wetland,Water,Water,Water,Water,Water,Water
90,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
91,Cropland,Forest,Wetland,Water,Wetland,Water,Water,Water
92,Cropland,Forest,Water,Water,Water,Water,Water,Water
93,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Water
94,Wetland,NULL,Water,Water,Water,Water,Water,Grassland
95,Wetland,NULL,Water,Water,Water,Water,Water,Water
96,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
97,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
98,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
99,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
100,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
101,Wetland,Wetland,Water,Water,Water,Wetland,Water,Grassland
102,Wetland,Wetland,Water,Water,Water,Wetland,Water,Water
103,Wetland,Bareland,Wetland,Water,Wetland,Water,Water,Water
104,Wetland,Water,Wetland,NULL,Wetland,Water,Bareland,Forest
105,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
106,Wetland,Water,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
107,Wetland,Water,Water,Water,Water,Water,Water,Water
108,Wetland,Forest,Wetland,Water,Wetland,Wetland,Water,Water
109,Wetland,Forest,Wetland,Water,Wetland,Water,Water,Water
110,Wetland,Forest,Water,Non_Water,Water,Water,Water,Water
111,Wetland,Forest,Water,Water,Water,Water,Water,Grassland
112,Wetland,Forest,Water,Water,Water,Water,Water,Water
113,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
114,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Bareland,Forest
115,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Water,Bareland,Forest
116,Bareland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
117,Bareland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Forest
118,Bareland,NULL,Wetland,Water,Wetland,Water,Water,Water
119,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
120,Bareland,NULL,Water,NULL,Water,Bareland,Bareland,Forest
121,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
122,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
123,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
124,Bareland,Bareland,NULL,NULL,Non_Wetland,Water,Bareland,Forest
125,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
126,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland,Bareland,Water
127,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
128,Bareland,Bareland,NULL,Water,Non_Wetland,Water,Water,Water
129,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
130,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Water,Water,Water
131,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
132,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
133,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water,Water,Water
134,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
135,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
136,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
137,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
138,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
139,Bareland,Bareland,Grassland,Water,Non_Wetland,Water,Wetland,Water
140,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
141,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Water
142,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Bareland,Forest
143,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Water,Water
144,Bareland,Bareland,Wetland,NULL,Wetland,Bareland,Water,Forest
145,Bareland,Bareland,Wetland,NULL,Wetland,Water,Bareland,Water
146,Bareland,Bareland,Wetland,NULL,Wetland,Water,Bareland,Forest
147,Bareland,Bareland,Wetland,NULL,Wetland,Water,Water,Water
148,Bareland,Bareland,Wetland,NULL,Wetland,Water,Water,Forest
149,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
150,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
151,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Water
152,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Bareland,Water
153,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Bareland,Forest
154,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
155,Bareland,Bareland,Wetland,Water,Wetland,NULL,Water,Water
156,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Water
157,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Forest
158,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
159,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Forest
160,Bareland,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
161,Bareland,Bareland,Wetland,Water,Wetland,Water,Bareland,Water
162,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
163,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
164,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
165,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
166,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
167,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water,Bareland,Forest
168,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water,Water,Water
169,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water,Water,Forest
170,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Water
171,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
172,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water,Bareland,Forest
173,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water,Water,Water
174,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
175,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Water,Forest
176,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Wetland,Water
177,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
178,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Forest
179,Bareland,Bareland,Water,NULL,Water,Bareland,Bareland,Water
180,Bareland,Bareland,Water,NULL,Water,Bareland,Bareland,Forest
181,Bareland,Bareland,Water,NULL,Water,Bareland,Water,Water
182,Bareland,Bareland,Water,NULL,Water,Water,Bareland,Water
183,Bareland,Bareland,Water,NULL,Water,Water,Bareland,Forest
184,Bareland,Bareland,Water,NULL,Water,Water,Water,Water
185,Bareland,Bareland,Water,Non_Water,Water,NULL,Water,Water
186,Bareland,Bareland,Water,Non_Water,Water,Bareland,Bareland,Water
187,Bareland,Bareland,Water,Non_Water,Water,Bareland,Water,Water
188,Bareland,Bareland,Water,Non_Water,Water,Water,Bareland,Water
189,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Water
190,Bareland,Bareland,Water,Water,Water,Bareland,Bareland,Water
191,Bareland,Bareland,Water,Water,Water,Bareland,Bareland,Forest
192,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
193,Bareland,Bareland,Water,Water,Water,Water,Bareland,Water
194,Bareland,Bareland,Water,Water,Water,Water,Water,Bareland
195,Bareland,Bareland,Water,Water,Water,Water,Water,Water
196,Bareland,Bareland,Water,Water,Water,Forest,Water,Bareland
197,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
198,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
199,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
200,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
201,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Water,Forest
202,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
203,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
204,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Bareland,Forest
205,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Water,Forest
206,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
207,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Water,Bareland,Forest
208,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Bareland,Grassland
209,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Bareland,Water
210,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Bareland,Forest
211,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Water,Water
212,Bareland,Bareland,Forest,Water,Non_Wetland,Bareland,Water,Forest
213,Bareland,Bareland,Forest,Water,Non_Wetland,Water,Bareland,Forest
214,Bareland,Bareland,Forest,Water,Non_Wetland,Water,Water,Water
215,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
216,Bareland,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
217,Bareland,Water,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
218,Bareland,Water,NULL,NULL,Non_Wetland,Water,Bareland,Forest
219,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
220,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
221,Bareland,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
222,Bareland,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
223,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
224,Bareland,Water,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
225,Bareland,Water,Grassland,Water,Non_Wetland,Bareland,Water,Forest
226,Bareland,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
227,Bareland,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
228,Bareland,Water,Wetland,NULL,Wetland,NULL,Water,Water
229,Bareland,Water,Wetland,NULL,Wetland,Wetland,Bareland,Forest
230,Bareland,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
231,Bareland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
232,Bareland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Water
233,Bareland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Forest
234,Bareland,Water,Wetland,NULL,Wetland,Bareland,Water,Water
235,Bareland,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
236,Bareland,Water,Wetland,NULL,Wetland,Bareland,Forest,Forest
237,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
238,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
239,Bareland,Water,Wetland,NULL,Wetland,Water,Bareland,Water
240,Bareland,Water,Wetland,NULL,Wetland,Water,Bareland,Forest
241,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Water
242,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Forest
243,Bareland,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
244,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
245,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
246,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
247,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
248,Bareland,Water,Wetland,Non_Water,Wetland,Water,Bareland,Water
249,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
250,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
251,Bareland,Water,Wetland,Water,Wetland,NULL,Water,Water
252,Bareland,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
253,Bareland,Water,Wetland,Water,Wetland,Bareland,Bareland,Grassland
254,Bareland,Water,Wetland,Water,Wetland,Bareland,Bareland,Water
255,Bareland,Water,Wetland,Water,Wetland,Bareland,Bareland,Forest
256,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
257,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Forest
258,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
259,Bareland,Water,Wetland,Water,Wetland,Water,Bareland,Water
260,Bareland,Water,Wetland,Water,Wetland,Water,Water,Grassland
261,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
262,Bareland,Water,Wetland,Water,Wetland,Water,Water,Forest
263,Bareland,Water,Wetland,Water,Wetland,Forest,Water,Water
264,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
265,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Water
266,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
267,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
268,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
269,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Bareland,Forest
270,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
271,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
272,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
273,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
274,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Bareland,Forest
275,Bareland,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
276,Bareland,Water,Bareland,Water,Non_Wetland,Water,Bareland,Water
277,Bareland,Water,Bareland,Water,Non_Wetland,Water,Water,Water
278,Bareland,Water,Water,NULL,Water,Bareland,Wetland,Forest
279,Bareland,Water,Water,NULL,Water,Bareland,Bareland,Water
280,Bareland,Water,Water,NULL,Water,Bareland,Bareland,Forest
281,Bareland,Water,Water,NULL,Water,Bareland,Water,Water
282,Bareland,Water,Water,NULL,Water,Bareland,Water,Forest
283,Bareland,Water,Water,NULL,Water,Water,Wetland,Forest
284,Bareland,Water,Water,NULL,Water,Water,Water,Water
285,Bareland,Water,Water,NULL,Water,Water,Water,Forest
286,Bareland,Water,Water,Non_Water,Water,Bareland,Bareland,Water
287,Bareland,Water,Water,Non_Water,Water,Bareland,Water,Water
