Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LWJ_M_R
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
92,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
96,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
103,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
105,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
115,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
116,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
117,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
241,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
246,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
247,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
248,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
249,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
250,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
251,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
252,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
253,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
254,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Bareland
255,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Bareland
256,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
257,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
258,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
259,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
263,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
266,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
269,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
273,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
275,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
276,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
277,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
278,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
279,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
282,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
284,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
285,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
286,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
287,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
288,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
292,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
293,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
295,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
299,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
300,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
302,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
306,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
307,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
309,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
310,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
311,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
313,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
314,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Built-up
315,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
316,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Forest
317,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
318,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Bareland
319,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Built-up
320,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Bareland
321,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
