Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KHS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KHS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KHS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KHS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KHS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KHS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KHS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KHS_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
53,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
54,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
55,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
56,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
65,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
67,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
69,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
74,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
75,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
77,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
78,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
79,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
80,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
81,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
82,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
87,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
88,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
89,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
90,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
91,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
92,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
93,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
94,NULL,NULL,Water,Water,Water,NULL,NULL,Water
95,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
96,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
100,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
102,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
103,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
104,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
105,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
107,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
108,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
109,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
110,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
119,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
120,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
121,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
122,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
123,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
124,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
125,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
126,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
127,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
128,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
129,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
130,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
131,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
132,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
133,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
134,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
135,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
137,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
138,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
139,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
140,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
141,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
142,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
143,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
144,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
145,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
146,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
147,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
148,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
149,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
150,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
151,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
152,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
153,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
155,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
157,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
159,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
160,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
161,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
163,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
165,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
166,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
167,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
168,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
170,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
171,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
172,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
173,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
174,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
175,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
176,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
177,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
179,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
180,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
181,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
182,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
183,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
184,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
186,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
187,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
188,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
189,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
198,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
199,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
200,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
201,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
202,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
203,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
204,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
205,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
206,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
208,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
209,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
210,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
211,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
212,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
213,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
214,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
215,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
216,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
217,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
218,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
220,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
221,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
222,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
223,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
225,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
226,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
227,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
228,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
229,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
230,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
231,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Water
232,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
233,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
234,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
235,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
236,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
237,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
238,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
240,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
241,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
242,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
243,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
244,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
245,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
246,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
247,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
248,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
249,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
250,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
251,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
252,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
253,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
254,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
255,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
256,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
257,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
258,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
259,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
260,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
261,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
262,NULL,Water,Water,NULL,Water,NULL,NULL,Water
263,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
264,NULL,Water,Water,Water,Water,NULL,NULL,Water
265,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
266,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
267,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
268,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
269,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
270,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
271,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
272,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
273,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
274,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
275,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
276,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
277,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
278,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
279,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
280,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
281,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
282,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
283,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
284,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
285,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
286,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
287,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
288,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
289,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
290,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
291,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
292,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
293,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
294,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
295,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
296,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
297,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
298,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
299,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
300,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
301,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
302,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
303,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
304,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
305,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
306,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
307,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
308,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
309,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
310,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
311,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
312,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
313,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
314,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
315,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
316,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
317,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
318,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
319,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
320,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
321,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
322,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
323,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
324,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
325,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
326,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
327,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
328,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
329,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
330,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
331,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
