Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LQC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LQC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LQC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LQC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LQC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LQC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LQC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LQC_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Bareland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Cropland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Bareland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Bareland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
250,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
251,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
252,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
253,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
254,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
255,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
256,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
257,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
258,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
259,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
260,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
261,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
262,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
263,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
264,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
265,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
266,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
267,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
268,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Wetland
269,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
270,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
271,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
272,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
273,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
274,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
275,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Cropland
277,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
278,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
279,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Forest
280,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
281,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
