Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MFT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MFT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
