Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Water
19,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
24,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
26,NULL,NULL,Grassland,NULL,Non_Wetland,Water
27,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
31,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
34,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
38,NULL,NULL,Cropland,NULL,Non_Wetland,Water
39,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
43,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
44,NULL,NULL,Cropland,Water,Non_Wetland,Water
45,NULL,NULL,Cropland,Water,Non_Wetland,Forest
46,NULL,NULL,Wetland,Non_Water,Wetland,Forest
47,NULL,NULL,Wetland,Water,Wetland,Grassland
48,NULL,NULL,Wetland,Water,Wetland,Water
49,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
50,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
51,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
52,NULL,NULL,Bareland,NULL,Non_Wetland,Water
53,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
54,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
57,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
58,NULL,NULL,Bareland,Water,Non_Wetland,Water
59,NULL,NULL,Bareland,Water,Non_Wetland,Forest
60,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
61,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
62,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
63,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
64,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
65,NULL,NULL,Water,NULL,Water,Grassland
66,NULL,NULL,Water,NULL,Water,Forest
67,NULL,NULL,Water,Non_Water,Water,Grassland
68,NULL,NULL,Water,Non_Water,Water,Forest
69,NULL,NULL,Water,Water,Water,Grassland
70,NULL,NULL,Water,Water,Water,Cropland
71,NULL,NULL,Water,Water,Water,Bareland
72,NULL,NULL,Water,Water,Water,Water
73,NULL,NULL,Water,Water,Water,Forest
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL
75,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
77,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
78,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
79,NULL,NULL,Forest,NULL,Non_Wetland,Water
80,NULL,NULL,Forest,NULL,Non_Wetland,Forest
81,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
82,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
83,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
84,NULL,NULL,Forest,Water,Non_Wetland,Grassland
85,NULL,NULL,Forest,Water,Non_Wetland,Cropland
86,NULL,NULL,Forest,Water,Non_Wetland,Bareland
87,NULL,NULL,Forest,Water,Non_Wetland,Water
88,NULL,NULL,Forest,Water,Non_Wetland,Forest
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
94,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
95,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
96,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
98,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
99,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
100,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
101,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
102,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
103,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
104,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
105,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
106,NULL,Cropland,Wetland,Water,Wetland,Forest
107,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
108,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
109,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
110,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
111,NULL,Cropland,Water,Non_Water,Water,Forest
112,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
113,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
114,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
115,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
116,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
117,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
118,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
119,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
120,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
