Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NQG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
