Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
