Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MVM_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Water
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
87,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
88,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
105,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Forest
106,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
107,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Forest
108,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
109,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Water
110,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
111,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
112,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
113,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
114,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
115,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
116,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
117,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Water
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Forest,Forest
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Bareland
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Bareland
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Water
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Forest
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
237,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Forest
238,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Grassland
239,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Water
240,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Forest
241,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
242,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
243,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Bareland
244,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
245,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
246,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
247,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
248,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Bareland
249,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Shrubland,Grassland
250,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Shrubland,Forest
251,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
252,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
253,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
254,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
255,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
256,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Forest
257,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Shrubland,Grassland
258,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
259,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Bareland
260,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Water
261,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Forest
262,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,NULL
263,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
264,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
265,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
266,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
267,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Forest,Grassland
268,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,Bareland
269,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
270,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
271,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
272,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
273,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
275,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
277,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
279,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
283,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
285,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
287,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
290,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
293,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
295,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
298,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
300,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
305,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
306,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
307,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
308,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
309,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
310,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
311,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
312,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
313,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
314,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
315,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
316,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
317,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
318,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
319,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
320,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
