Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MXC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
14,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
15,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
16,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
17,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
18,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
19,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
20,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
21,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
22,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
24,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
25,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
26,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
27,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
28,NULL,NULL,Water,Water,Water,NULL,NULL,Water
29,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
36,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
37,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
38,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
39,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
40,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
41,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
42,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
43,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
44,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
45,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
47,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
48,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
50,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
