Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MRS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
