Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KHR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KHR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KHR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KHR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KHR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KHR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KHR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KHR_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
48,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
50,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
51,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
52,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
53,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
54,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
55,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
56,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
57,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
65,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
67,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
69,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
71,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
76,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
77,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
79,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
80,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
82,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
88,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
89,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
90,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
91,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Wetland
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
93,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
95,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
96,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
97,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
98,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
99,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
100,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
101,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
102,NULL,NULL,Water,Water,Water,NULL,NULL,Water
103,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
104,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
106,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
107,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
109,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
110,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
111,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
113,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
119,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
121,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
123,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
124,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
125,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
126,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
127,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
128,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
129,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
130,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
131,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
132,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
134,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
135,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
137,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
138,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
139,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
140,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
141,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
143,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
144,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
145,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
146,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
147,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
148,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
149,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
150,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
151,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
152,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
153,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
155,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
157,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
158,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
159,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
161,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
162,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
163,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
165,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
166,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
167,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
168,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
170,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
171,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
172,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
173,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
175,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
177,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
178,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
179,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
180,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
181,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
182,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
183,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
184,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
186,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
187,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
188,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
189,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
190,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
191,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
193,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
194,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
195,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
196,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
198,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
199,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
200,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
201,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
202,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
203,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
204,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
205,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
206,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
207,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
208,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
209,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
210,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
211,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
212,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
213,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
215,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
216,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
217,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
218,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
219,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
220,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
221,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
222,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
223,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
224,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
225,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
226,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
227,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
228,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
229,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
230,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
231,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
232,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
233,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
234,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
235,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
236,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
237,NULL,Water,Water,NULL,Water,NULL,NULL,Water
238,NULL,Water,Water,Water,Water,NULL,NULL,Water
239,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
240,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
241,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
244,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
245,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
246,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
248,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
249,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
250,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
251,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
252,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
253,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
254,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
255,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
256,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
257,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
258,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
259,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
260,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
261,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
262,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
263,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
264,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
265,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
266,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
267,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
268,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
269,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
270,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
271,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
272,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
273,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
274,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
275,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
276,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
277,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
278,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
279,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
280,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
281,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
282,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
283,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
284,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
285,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
286,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
287,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
288,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
289,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
290,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
291,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
292,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
293,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
294,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
295,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
296,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
297,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
298,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
299,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
300,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
301,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
302,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
303,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
304,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
305,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
306,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
307,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
308,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
309,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
310,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
311,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
312,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
313,Grassland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
314,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
315,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
316,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
317,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
318,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
319,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
320,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
321,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
322,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
323,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
324,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
325,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
326,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
327,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
328,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
329,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
330,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
