Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LTH_M_R
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
84,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
85,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
86,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Cropland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Built-up
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
195,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
200,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
201,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
202,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
204,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
207,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
209,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
210,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
211,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
212,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
213,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
214,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
215,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
216,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
217,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
218,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
219,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
220,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
221,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
222,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
223,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
224,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
225,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
227,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
228,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
229,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
230,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
231,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
232,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
233,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
234,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
235,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
236,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
237,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
238,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
240,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
241,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
242,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
243,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
246,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
247,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
248,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
251,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
252,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
253,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
254,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
255,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
256,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
257,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
258,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
259,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
260,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
261,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
262,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
263,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
264,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
265,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
266,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
267,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
268,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
269,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
270,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Cropland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
272,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
273,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
275,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
276,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
277,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
278,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Cropland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
280,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
281,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
282,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
284,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
285,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
286,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Cropland
287,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
290,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
292,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
293,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
294,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
295,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
296,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Forest
297,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
298,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
299,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
300,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,Forest
301,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,NULL
302,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Forest
303,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
304,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
305,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
306,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
307,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
308,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
309,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
310,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
311,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
312,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
313,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Wetland
314,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
315,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
316,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
317,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,NULL
318,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
319,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Wetland
320,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
321,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
322,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,NULL
