Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LUP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LUP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LUP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LUP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LUP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LUP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Permanent_ice_and_snow
7,NULL,NULL,NULL,NULL,Non_Wetland,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Wetland
10,NULL,NULL,NULL,Water,Non_Wetland,Water
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
27,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
28,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
31,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
32,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
33,NULL,NULL,Shrubland,Water,Non_Wetland,Water
34,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
41,NULL,NULL,Grassland,NULL,Non_Wetland,Water
42,NULL,NULL,Grassland,NULL,Non_Wetland,Permanent_ice_and_snow
43,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
49,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
50,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
51,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
52,NULL,NULL,Grassland,Water,Non_Wetland,Forest
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
54,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
55,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
56,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
57,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
58,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
59,NULL,NULL,Cropland,NULL,Non_Wetland,Water
60,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
66,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
67,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
68,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
69,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
70,NULL,NULL,Cropland,Water,Non_Wetland,Forest
71,NULL,NULL,Wetland,NULL,Wetland,Grassland
72,NULL,NULL,Wetland,NULL,Wetland,Cropland
73,NULL,NULL,Wetland,NULL,Wetland,Wetland
74,NULL,NULL,Wetland,NULL,Wetland,Bareland
75,NULL,NULL,Wetland,NULL,Wetland,Built-up
76,NULL,NULL,Wetland,NULL,Wetland,Water
77,NULL,NULL,Wetland,NULL,Wetland,Forest
78,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
79,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
80,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
81,NULL,NULL,Wetland,Water,Wetland,NULL
82,NULL,NULL,Wetland,Water,Wetland,Grassland
83,NULL,NULL,Wetland,Water,Wetland,Cropland
84,NULL,NULL,Wetland,Water,Wetland,Wetland
85,NULL,NULL,Wetland,Water,Wetland,Bareland
86,NULL,NULL,Wetland,Water,Wetland,Water
87,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
88,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
89,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
90,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
91,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
92,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
93,NULL,NULL,Bareland,NULL,Non_Wetland,Water
94,NULL,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
95,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
100,NULL,NULL,Bareland,Water,Non_Wetland,NULL
101,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
102,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
103,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
104,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
105,NULL,NULL,Bareland,Water,Non_Wetland,Water
106,NULL,NULL,Bareland,Water,Non_Wetland,Forest
107,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
108,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
109,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
110,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
111,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
112,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
114,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
117,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
118,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
