Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17NRA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17NRA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17NRA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17NRA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17NRA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17NRA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
5,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
6,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
7,NULL,NULL,NULL,NULL,Non_Wetland,Water
8,NULL,NULL,NULL,NULL,Non_Wetland,Permanent_ice_and_snow
9,NULL,NULL,NULL,NULL,Non_Wetland,Forest
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up
12,NULL,NULL,NULL,Non_Water,Non_Wetland,Water
13,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
14,NULL,NULL,NULL,Water,Non_Wetland,Grassland
15,NULL,NULL,NULL,Water,Non_Wetland,Water
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
28,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
31,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
32,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
33,NULL,NULL,Shrubland,Water,Non_Wetland,Water
34,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
40,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
41,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
42,NULL,NULL,Grassland,NULL,Non_Wetland,Water
43,NULL,NULL,Grassland,NULL,Non_Wetland,Permanent_ice_and_snow
44,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
49,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
50,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
51,NULL,NULL,Grassland,Water,Non_Wetland,Water
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
53,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
54,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
55,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
56,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
57,NULL,NULL,Cropland,NULL,Non_Wetland,Water
58,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
60,NULL,NULL,Cropland,Water,Non_Wetland,Forest
61,NULL,NULL,Wetland,NULL,Wetland,Grassland
62,NULL,NULL,Wetland,NULL,Wetland,Water
63,NULL,NULL,Wetland,Water,Wetland,Grassland
64,NULL,NULL,Wetland,Water,Wetland,Water
65,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
66,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
67,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
68,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
69,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
70,NULL,NULL,Bareland,NULL,Non_Wetland,Water
71,NULL,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
72,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
76,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
77,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
78,NULL,NULL,Bareland,Water,Non_Wetland,Water
79,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
80,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
81,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
82,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
83,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
84,NULL,NULL,Built-up,NULL,Non_Wetland,Water
85,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
86,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
87,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
88,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
89,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
90,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
91,NULL,NULL,Water,NULL,NULL,Bareland
92,NULL,NULL,Water,NULL,NULL,Forest
93,NULL,NULL,Water,NULL,Water,NULL
94,NULL,NULL,Water,NULL,Water,Grassland
95,NULL,NULL,Water,NULL,Water,Cropland
96,NULL,NULL,Water,NULL,Water,Bareland
97,NULL,NULL,Water,NULL,Water,Built-up
98,NULL,NULL,Water,NULL,Water,Water
99,NULL,NULL,Water,NULL,Water,Permanent_ice_and_snow
100,NULL,NULL,Water,NULL,Water,Forest
101,NULL,NULL,Water,Non_Water,Water,Grassland
102,NULL,NULL,Water,Non_Water,Water,Bareland
103,NULL,NULL,Water,Non_Water,Water,Water
104,NULL,NULL,Water,Non_Water,Water,Forest
105,NULL,NULL,Water,Water,Water,NULL
106,NULL,NULL,Water,Water,Water,Grassland
107,NULL,NULL,Water,Water,Water,Bareland
108,NULL,NULL,Water,Water,Water,Water
109,NULL,NULL,Water,Water,Water,Forest
110,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
111,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Cropland
112,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
113,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Water
114,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Permanent_ice_and_snow
115,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Forest
116,NULL,NULL,Permanent_ice_and_snow,Water,Non_Wetland,Permanent_ice_and_snow
117,NULL,NULL,Forest,NULL,Non_Wetland,NULL
118,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
119,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
