Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MGE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MGE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MGE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MGE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MGE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MGE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
23,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,NULL
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,NULL
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
55,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
56,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
57,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
58,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
59,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
60,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
61,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
62,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
63,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,NULL
64,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
65,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,NULL
66,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,NULL
67,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
68,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,NULL
69,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
70,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
71,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
72,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,NULL
73,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
74,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
75,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
76,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
77,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
78,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
79,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,NULL
80,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,NULL
81,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
82,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,NULL
83,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,NULL
