Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KZS_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Water
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
131,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
132,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
135,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,NULL
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
171,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
172,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
173,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
174,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
175,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
176,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
177,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
178,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
