Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MRR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MRR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MRR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MRR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MRR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MRR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MRR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MRR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Water
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
151,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
158,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
160,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
197,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
198,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
199,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
202,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
205,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
206,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
207,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
208,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
210,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
211,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
212,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
213,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
214,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
215,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
216,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
217,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
218,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
219,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
220,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
221,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
222,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
223,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
224,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
225,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
226,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
227,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
228,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
229,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
230,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
231,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
232,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
233,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
234,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
235,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
236,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
248,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
249,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
250,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
251,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Built-up
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Bareland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
303,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
304,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
305,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
306,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
307,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
308,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
309,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
310,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
311,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
312,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
313,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,NULL
314,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
315,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
316,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
317,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
318,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
319,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
320,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
321,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
322,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
323,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
324,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
325,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,NULL
326,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
327,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Bareland
328,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
