Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MMA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
55,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
70,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Forest
71,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
72,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
74,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
75,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Forest
76,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
77,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
78,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
79,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
80,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
81,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
82,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
83,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
84,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
85,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Wetland,Grassland
86,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Water,Grassland
87,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
88,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
