Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LVH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
