Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MUV_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
8,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,Water,Non_Wetland,Water
11,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
12,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
14,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
16,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
17,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
18,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
20,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
21,NULL,NULL,Cropland,Water,Non_Wetland,Forest
22,NULL,NULL,Wetland,NULL,Wetland,NULL
23,NULL,NULL,Wetland,NULL,Wetland,Grassland
24,NULL,NULL,Wetland,NULL,Wetland,Wetland
25,NULL,NULL,Wetland,NULL,Wetland,Water
26,NULL,NULL,Wetland,NULL,Wetland,Forest
27,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
28,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
29,NULL,NULL,Wetland,Non_Water,Wetland,Water
30,NULL,NULL,Wetland,Non_Water,Wetland,Forest
31,NULL,NULL,Wetland,Water,Wetland,Grassland
32,NULL,NULL,Wetland,Water,Wetland,Wetland
33,NULL,NULL,Wetland,Water,Wetland,Water
34,NULL,NULL,Wetland,Water,Wetland,Forest
35,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
36,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
37,NULL,NULL,Water,NULL,Water,Wetland
38,NULL,NULL,Water,NULL,Water,Water
39,NULL,NULL,Water,NULL,Water,Forest
40,NULL,NULL,Water,Non_Water,Water,Grassland
41,NULL,NULL,Water,Non_Water,Water,Wetland
42,NULL,NULL,Water,Non_Water,Water,Water
43,NULL,NULL,Water,Non_Water,Water,Forest
44,NULL,NULL,Water,Water,Water,Grassland
45,NULL,NULL,Water,Water,Water,Wetland
46,NULL,NULL,Water,Water,Water,Water
47,NULL,NULL,Water,Water,Water,Forest
48,NULL,NULL,Forest,NULL,Non_Wetland,NULL
49,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
50,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
51,NULL,NULL,Forest,NULL,Non_Wetland,Water
52,NULL,NULL,Forest,NULL,Non_Wetland,Forest
53,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
54,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
55,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
56,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
57,NULL,NULL,Forest,Water,Non_Wetland,Grassland
58,NULL,NULL,Forest,Water,Non_Wetland,Wetland
59,NULL,NULL,Forest,Water,Non_Wetland,Water
60,NULL,NULL,Forest,Water,Non_Wetland,Forest
61,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
62,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
63,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
64,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
65,NULL,Cropland,Wetland,NULL,Wetland,Forest
66,NULL,Cropland,Water,NULL,Water,Forest
67,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
68,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
69,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
70,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
71,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
72,NULL,Wetland,Wetland,NULL,Wetland,NULL
73,NULL,Wetland,Wetland,NULL,Wetland,Grassland
74,NULL,Wetland,Wetland,NULL,Wetland,Wetland
75,NULL,Wetland,Wetland,NULL,Wetland,Water
76,NULL,Wetland,Wetland,NULL,Wetland,Forest
77,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
78,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
79,NULL,Wetland,Wetland,Non_Water,Wetland,Water
80,NULL,Wetland,Wetland,Water,Wetland,Grassland
81,NULL,Wetland,Wetland,Water,Wetland,Wetland
82,NULL,Wetland,Wetland,Water,Wetland,Water
83,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
84,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
85,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
86,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
87,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
88,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
89,NULL,Bareland,Wetland,NULL,Wetland,Water
90,NULL,Bareland,Wetland,NULL,Wetland,Forest
91,NULL,Bareland,Wetland,Non_Water,Wetland,Water
92,NULL,Bareland,Wetland,Water,Wetland,Grassland
93,NULL,Bareland,Wetland,Water,Wetland,Water
94,NULL,Bareland,Wetland,Water,Wetland,Forest
95,NULL,Bareland,Bareland,Water,Non_Wetland,Water
96,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
97,NULL,Bareland,Built-up,Water,Non_Wetland,Water
98,NULL,Bareland,Water,Water,Water,Water
99,NULL,Bareland,Water,Water,Water,Forest
100,NULL,Bareland,Forest,NULL,Non_Wetland,Water
101,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
102,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
103,NULL,Bareland,Forest,Water,Non_Wetland,Water
104,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
105,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
106,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
107,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
110,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
111,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
112,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
113,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
114,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
115,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
116,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
117,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
118,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
119,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
120,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
121,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
122,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
123,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
124,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up
125,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
126,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
127,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
128,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
129,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Water
130,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
131,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
132,NULL,Built-up,Cropland,Water,Non_Wetland,Water
133,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
134,NULL,Built-up,Wetland,NULL,Wetland,Grassland
135,NULL,Built-up,Wetland,NULL,Wetland,Water
136,NULL,Built-up,Wetland,NULL,Wetland,Forest
137,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
138,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
139,NULL,Built-up,Wetland,Water,Wetland,Water
140,NULL,Built-up,Wetland,Water,Wetland,Forest
141,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
142,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
143,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
144,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
145,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
146,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
147,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
148,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
149,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
150,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
151,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
152,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
153,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
154,NULL,Built-up,Built-up,Water,Non_Wetland,Water
155,NULL,Built-up,Water,NULL,Water,Grassland
156,NULL,Built-up,Water,NULL,Water,Water
157,NULL,Built-up,Water,NULL,Water,Forest
158,NULL,Built-up,Water,Water,Water,Grassland
159,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
160,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
161,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
162,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
163,NULL,Built-up,Forest,NULL,Non_Wetland,Water
164,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
165,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
166,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
167,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
168,NULL,Built-up,Forest,Water,Non_Wetland,Water
169,NULL,Built-up,Forest,Water,Non_Wetland,Forest
170,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
171,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
172,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
173,NULL,Water,Shrubland,Water,Non_Wetland,Water
174,NULL,Water,Shrubland,Water,Non_Wetland,Forest
175,NULL,Water,Grassland,Water,Non_Wetland,Grassland
176,NULL,Water,Grassland,Water,Non_Wetland,Built-up
177,NULL,Water,Grassland,Water,Non_Wetland,Water
178,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
179,NULL,Water,Cropland,NULL,Non_Wetland,Forest
180,NULL,Water,Cropland,Water,Non_Wetland,Water
181,NULL,Water,Wetland,NULL,Wetland,Grassland
182,NULL,Water,Wetland,NULL,Wetland,Water
183,NULL,Water,Wetland,NULL,Wetland,Forest
184,NULL,Water,Wetland,Non_Water,Wetland,Grassland
185,NULL,Water,Wetland,Non_Water,Wetland,Water
186,NULL,Water,Wetland,Non_Water,Wetland,Forest
187,NULL,Water,Wetland,Water,Wetland,Grassland
188,NULL,Water,Wetland,Water,Wetland,Water
189,NULL,Water,Wetland,Water,Wetland,Forest
190,NULL,Water,Bareland,Water,Non_Wetland,Water
191,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
192,NULL,Water,Built-up,NULL,Non_Wetland,Water
193,NULL,Water,Built-up,NULL,Non_Wetland,Forest
194,NULL,Water,Water,NULL,Water,Water
195,NULL,Water,Water,Non_Water,Water,Water
196,NULL,Water,Water,Non_Water,Water,Forest
197,NULL,Water,Water,Water,Water,Water
198,NULL,Water,Water,Water,Water,Forest
199,NULL,Water,Forest,NULL,Non_Wetland,Grassland
200,NULL,Water,Forest,NULL,Non_Wetland,Water
201,NULL,Water,Forest,NULL,Non_Wetland,Forest
202,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
203,NULL,Water,Forest,Water,Non_Wetland,Grassland
204,NULL,Water,Forest,Water,Non_Wetland,Water
