Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KTQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KTQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KTQ_M_R
29,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
35,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
39,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
40,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
41,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
42,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
47,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
68,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
70,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
71,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
72,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
73,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
74,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
75,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
76,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
77,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
78,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
79,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
80,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
81,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
82,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
83,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
84,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
85,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
86,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
87,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
88,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
89,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
90,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
91,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
92,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
93,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
94,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
95,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
96,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
97,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
98,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
99,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
100,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
101,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
103,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
104,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
105,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
106,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
107,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
109,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
110,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
111,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
112,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
113,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
114,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
115,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
116,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
118,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
119,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
120,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
121,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
122,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
124,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
125,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
126,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
127,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
128,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
129,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
130,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
131,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
132,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
133,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
134,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,NULL
135,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
136,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
137,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
138,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
139,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
140,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
141,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
142,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
143,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
144,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
145,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
146,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
147,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
148,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
149,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
150,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
151,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
152,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
153,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
154,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
155,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
156,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
157,NULL,NULL,Water,Water,Water,NULL,NULL,Water
158,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
159,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
160,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
161,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
162,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
163,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
164,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
165,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
166,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
167,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
168,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
170,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
171,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
172,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
173,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
174,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
175,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
176,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
177,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
178,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
179,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
180,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
181,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
182,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
183,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
184,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
185,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
186,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
187,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
188,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
189,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
190,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
191,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
192,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
193,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
194,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
195,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
196,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
197,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
198,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
199,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
200,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
201,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
202,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
203,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
204,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
205,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
206,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
207,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
208,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
209,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
210,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
211,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
212,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
213,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
214,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
215,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
216,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
217,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
218,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
219,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
220,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
221,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
222,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
223,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
224,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
225,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
226,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
227,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
228,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
229,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
230,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
231,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
232,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
233,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
234,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
235,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
236,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
237,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
238,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
239,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
240,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
241,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
242,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
243,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
244,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
245,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
246,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
247,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
248,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
249,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
250,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
251,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
252,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
253,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
254,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
255,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
256,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
257,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
258,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
259,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
260,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
261,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
262,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
263,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
264,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
265,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
266,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
267,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
268,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
269,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
270,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
271,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
272,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
273,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
274,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
275,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
276,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
277,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
278,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
279,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
280,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
281,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
282,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
283,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
284,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
285,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
286,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
287,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
288,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
289,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
290,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
291,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
292,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
293,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
294,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
295,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
296,Grassland,NULL,Water,NULL,Water,NULL,NULL,NULL
297,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
298,Grassland,NULL,Water,NULL,Water,NULL,NULL,Cropland
299,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
300,Grassland,NULL,Water,NULL,Water,NULL,NULL,Bareland
301,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
302,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
303,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,NULL
304,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
305,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
306,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
307,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
308,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
309,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
310,Grassland,NULL,Water,Water,Water,NULL,NULL,NULL
311,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
312,Grassland,NULL,Water,Water,Water,NULL,NULL,Cropland
313,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
314,Grassland,NULL,Water,Water,Water,NULL,NULL,Bareland
315,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
316,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
317,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
318,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
319,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
320,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
321,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
322,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
323,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
324,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
325,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
326,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
327,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
328,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
329,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
330,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
331,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
332,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
333,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
334,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
335,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
336,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
337,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
338,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
339,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
340,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
341,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
342,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
