Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Water
24,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Water
32,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL
39,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
41,NULL,NULL,Grassland,Water,Non_Wetland,Forest
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
43,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
47,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
52,NULL,NULL,Cropland,Water,Non_Wetland,NULL
53,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
54,NULL,NULL,Cropland,Water,Non_Wetland,Water
55,NULL,NULL,Cropland,Water,Non_Wetland,Forest
56,NULL,NULL,Wetland,NULL,Wetland,Grassland
57,NULL,NULL,Wetland,NULL,Wetland,Water
58,NULL,NULL,Wetland,NULL,Wetland,Forest
59,NULL,NULL,Wetland,Water,Wetland,NULL
60,NULL,NULL,Wetland,Water,Wetland,Grassland
61,NULL,NULL,Wetland,Water,Wetland,Forest
62,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
63,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
64,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
65,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
67,NULL,NULL,Bareland,NULL,Non_Wetland,Water
68,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
74,NULL,NULL,Bareland,Water,Non_Wetland,NULL
75,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
76,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
77,NULL,NULL,Bareland,Water,Non_Wetland,Water
78,NULL,NULL,Bareland,Water,Non_Wetland,Forest
79,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
80,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
81,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
82,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
83,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
84,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
85,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
86,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
87,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
88,NULL,NULL,Water,NULL,Water,NULL
89,NULL,NULL,Water,NULL,Water,Grassland
90,NULL,NULL,Water,NULL,Water,Bareland
91,NULL,NULL,Water,NULL,Water,Forest
92,NULL,NULL,Water,Water,Water,NULL
93,NULL,NULL,Water,Water,Water,Grassland
94,NULL,NULL,Water,Water,Water,Cropland
95,NULL,NULL,Water,Water,Water,Water
96,NULL,NULL,Water,Water,Water,Forest
97,NULL,NULL,Forest,NULL,Non_Wetland,NULL
98,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
99,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
100,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
101,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
102,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
103,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
104,NULL,NULL,Forest,NULL,Non_Wetland,Water
105,NULL,NULL,Forest,NULL,Non_Wetland,Forest
106,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
107,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
108,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
109,NULL,NULL,Forest,Water,Non_Wetland,Grassland
110,NULL,NULL,Forest,Water,Non_Wetland,Cropland
111,NULL,NULL,Forest,Water,Non_Wetland,Wetland
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
118,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
119,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
120,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
