Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MPT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
23,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
27,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
